Month,temp_max_daily,temp_min_daily,temp_max_extreme,temp_min_extreme,rainfall_total,rainfall_max_daily,rainy_days,sunshine_mean_daily,humidity_min,humidity_mean_24hr
2005-07-01,31.4,25.2,33.9,21.3,104,26.3,15,5.4,53,84
2005-06-01,32,26.1,33.9,23.6,82.3,27.6,15,5.4,50,82.7
2005-05-01,32.4,25.2,35.4,22.6,331.1,58.7,20,5.5,47,84.6
2005-04-01,33,25.7,35.1,23,81.7,49.6,10,7,42,81
2005-03-01,33.3,25.4,35,23,82.4,20.5,12,7.2,47,80.3
2005-02-01,33.4,25.3,34.7,23.5,8.4,7.2,3,9.1,45,77.7
2005-01-01,30.2,23.9,32.4,22.5,163.2,96.7,8,6.5,49,83.3
2004-12-01,30.1,24.5,32.7,23,139.8,36.4,14,4.9,58,85.2
2004-11-01,31.4,24.6,32.5,22.8,166.2,62.4,15,5.8,56,86.1
2004-10-01,31.6,25,34.2,23.2,125.6,25.3,13,5.1,43,83.9
2004-09-01,31.7,25,33.1,23.4,128.9,29.1,14,5.9,50,83.6
2004-08-01,31.7,25.4,33.5,22.1,185.2,111.5,8,7.3,47,80.3
2004-07-01,30.8,24.5,32.9,21.1,166.6,34.3,21,4.2,56,85.3
2004-06-01,32.4,26.1,33.7,22.5,127.2,68.1,8,6.4,49,79.8
2004-05-01,32.8,26.4,34.3,23.6,137.6,73.4,13,6,51,82.1
2004-04-01,33.3,26.1,35.1,24.4,57.1,18.1,9,7,46,82.3
2004-03-01,32.2,24.7,33.7,22.2,269.4,122.8,16,4.8,56,85.8
2004-02-01,32,24.7,34,22.6,31.9,19.2,4,7.7,51,80.5
2004-01-01,30.6,24.2,32,22,600.9,177.8,13,6.7,57,86.7
2003-12-01,29.9,24.3,32.2,22.3,273,92.1,17,3.9,60,87.2
2003-11-01,31,24.7,33,23,133.8,41.3,19,4.2,56,87.3
2003-10-01,31.1,24.5,33,22.6,351.4,56.6,21,5.1,54,84.9
2003-09-01,31.2,24.8,32.9,22.4,205.3,60,15,5,46,84.8
2003-08-01,31.8,25.5,33.1,23,193.6,64.4,13,6.1,48,83.1
2003-07-01,31.5,25.1,32.8,22,170.4,30.9,14,5.6,54,81.7
2003-06-01,32.7,26,34.3,22.4,50.3,23.2,12,7,36,78.5
2003-05-01,32.7,26.5,34.3,23.4,81.8,33,11,5.9,45,81.7
2003-04-01,32.1,25.3,33.7,23.4,159.9,42.9,20,5.1,48,86.7
2003-03-01,32.3,25.2,33.5,22.8,154.6,38.3,11,6.9,54,83.8
